Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Bortezomib;BORTEZOMIB 3,5MG 1 UNITA' USO PARENTERALE;VELCADE*1 flaconcino polv EV SC 3,5 mg;1936,33;1173,25;-;JANSSEN CILAG INTERNAT.N.V.;036559019;AGJ;
Bortezomib;BORTEZOMIB 2,5MG 1 UNITA' USO PARENTERALE;BORTEZOMIB*EV SC 1 flaconcino polv 2,5 mg;912,84;553,10;-;MEDAC GMBH;046001032;LCL;
Bosentan;BOSENTAN 32MG 56 UNITA' USO ORALE;TRACLEER*56 cpr dispers 32 mg;3655,22;2214,74;-;JANSSEN CILAG INTERNAT.N.V.;035609066;AGK;
Bosutinib;BOSUTINIB 400MG 28 UNITA' USO ORALE;BOSULIF*28 cpr riv 400 mg;6172,47;3739,96;-;PFIZER EUROPE MA EEIG;042735062;LOL;
Bosutinib;BOSUTINIB 100MG 28 UNITA' USO ORALE;BOSULIF*28 cpr riv 100 mg;1543,12;934,99;-;PFIZER EUROPE MA EEIG;042735011;UCA;
Bosutinib;BOSUTINIB 500MG 28 UNITA' USO ORALE;BOSULIF*28 cpr riv 500 mg;6172,47;3739,96;-;PFIZER EUROPE MA EEIG;042735035;UCB;
Brentuximab vedotin;BRENTUXIMAB VEDOTIN 50MG 1 UNITA' USO PARENTERALE;ADCETRIS*1 flaconcino EV 50 mg polv;4964,50;3008,03;-;TAKEDA PHARMA A/S;042448011;CFM;
Brexucabtagene autoleucel  ;BREXUCABTAGENE AUTOLEUCEL (CELLULE CD3 + AUTOLOGHE TRASDOTTE ANTI-CD19);TECARTUS*1 sacca EV 0,4x10 all'ottava - 2x10 all'ottava cellule dispersione per infusione;594144,00;360000,00;-;KITE PHARMA EU B.V.;049148012;LQR;
Brigatinib;BRIGATINIB 30MG 28 UNITA' USO ORALE;ALUNBRIG*28 cpr riv 30 mg;1295,29;784,83;-;TAKEDA PHARMA A/S;047416110;LFF;
Brigatinib;BRIGATINIB 90MG 28 UNITA' USO ORALE;ALUNBRIG*28 cpr riv 90 mg;3885,86;2354,50;-;TAKEDA PHARMA A/S;047416084;LFG;
Brigatinib;BRIGATINIB 180MG 28 UNITA' USO ORALE;ALUNBRIG*28 cpr riv 180 mg;7771,73;4709,00;-;TAKEDA PHARMA A/S;047416108;LFH;
Brigatinib;BRIGATINIB 90MG 7 UNITA' + 180MG 21 UNITA' USO ORALE;ALUNBRIG*7 cpr riv 90 mg + 21 cpr riv 180 mg;7771,73;4709,00;-;TAKEDA PHARMA A/S;047416122;LFI;
Brodalumab;BRODALUMAB 210MG 1,5ML 2 UNITA' USO PARENTERALE;KYNTHEUM*2 siringhe preriempite 210 mg 1,5 ml;1824,11;1105,26;-;LEO PHARMA A/S;045484019;KJS;
Brolucizumab;BROLUCIZUMAB 120MG/ML 0,165ML 1 UNITA' USO INTRAVITREALE;BEOVU*1 siringa 120 mg/ml 0,165 ml;1012,85;613,70;-;NOVARTIS EUROPHARM LTD;048480014;LEC;
Bromelina;BROMELINA 2G+20G USO DERMATOLOGICO;NEXOBRID*gel derm 1 flaconcino polv 2 g + 1 flacone gel 20 g;651,90;395,00;-;MEDIWOUND GERMANY GMBH;042539015;JAI;
Bromelina;BROMELINA 5G+50G USO DERMATOLOGICO;NEXOBRID*gel derm 1 flaconcino polv 5 g + 1 flacone gel 50 g;1629,75;987,49;-;MEDIWOUND GERMANY GMBH;042539027;JAJ;
Buprenorfina;BUPRENORFINA 2MG 7 UNITA' USO ORALE;BUPRENORFINA*7 cpr sublinguali 2 mg;4,74;2,87;-;MOLTENI & C. F.LLI ALITTI SpA;040325045;AGL;
Buprenorfina;BUPRENORFINA 2MG 7 UNITA' USO ORALE;BUPRENORFINA*7 cpr sublinguali 2 mg;4,23;2,56;-;SUN PHARMACEUTICAL IND.EU.B.V.;040643013;AGL;
Buprenorfina;BUPRENORFINA 2MG 7 UNITA' USO ORALE;SUBUTEX*7 cpr sublinguali 2 mg;7,50;3,40;-;INDIVIOR EUROPE LIMITED;033791029;AGL;
Buprenorfina;BUPRENORFINA 8MG 7 UNITA' USO ORALE;BUPRENORFINA*7 cpr sublinguali 8 mg;14,64;8,87;-;MOLTENI & C. F.LLI ALITTI SpA;040325072;AGM;
Buprenorfina;BUPRENORFINA 8MG 7 UNITA' USO ORALE;BUPRENORFINA*7 cpr sublinguali 8 mg;14,64;8,87;-;SUN PHARMACEUTICAL IND.EU.B.V.;040643049;AGM;
Buprenorfina;BUPRENORFINA 8MG 7 UNITA' USO ORALE;SUBUTEX*7 cpr sublinguali 8 mg;30,04;13,65;-;INDIVIOR EUROPE LIMITED;033791031;AGM;
Buprenorfina;BUPRENORFINA 2MG 28 UNITA' USO ORALE;PREKISAN*28 cpr sublinguali 2 mg;12,13;7,34;-;G.L. PHARMA GmbH;049020035;MND;
Buprenorfina;BUPRENORFINA 4MG 28 UNITA' USO ORALE;PREKISAN*28 cpr sublinguali 4 mg;26,52;16,06;-;G.L. PHARMA GmbH;049020074;MNE;
Buprenorfina;BUPRENORFINA 8MG 28 UNITA' USO ORALE;PREKISAN*28 cpr sublinguali 8 mg;42,28;25,61;-;G.L. PHARMA GmbH;049020112;MNF;
Burosumab;BUROSUMAB 10MG/ML 1 UNITA' USO PARENTERALE;CRYSVITA*SC 1 flaconcino 10 mg 1 ml;5046,38;3057,67;-;KYOWA KIRIN HOLDINGS B.V.;046127015;LAC;
Burosumab;BUROSUMAB 20MG/ML 1 UNITA' USO PARENTERALE;CRYSVITA*SC 1 flaconcino 20 mg 1 ml;10091,27;6114,44;-;KYOWA KIRIN HOLDINGS B.V.;046127027;LAD;
Burosumab;BUROSUMAB 30MG/ML 1 UNITA' USO PARENTERALE;CRYSVITA*SC 1 flaconcino 30 mg 1 ml;15137,65;9172,11;-;KYOWA KIRIN HOLDINGS B.V.;046127039;LAE;
Busulfano;BUSULFANO 60MG 8 UNITA' USO PARENTERALE;BUSULFAN*8 flaconcini EV 10 ml 6 mg/ml;2688,75;1629,15;-;ACCORD HEALTHCARE SLU;044182020;AGN;
Busulfano;BUSULFANO 60MG 8 UNITA' USO PARENTERALE;BUSULFANO*2x4 flaconcini EV 6 mg/ml;2688,75;1629,15;-;TEVA B.V.;046455010;AGN;
Busulfano;BUSULFANO 60MG 1 UNITA' USO PARENTERALE;BUSULFAN*1 flaconcino EV 10 ml 6 mg/ml;336,09;203,64;-;TILLOMED ITALIA Srl;045540010;RAB;
C-13 Urea;C-13 UREA 100MG 1 UNITA' USO ORALE;EXPIROBACTER*1 cpr 100 mg;40,32;18,33;-;ALFASIGMA SpA;034183018;BOJ;
C-13 Urea;C-13 UREA 100MG 1 UNITA' USO ORALE;EXPIROBACTER*1 cpr solub 100 mg;40,32;18,33;-;ALFASIGMA SpA;034183020;BOJ;
C-13 Urea;C-13 UREA 37,5MG 2 UNITA' USO ORALE;HELICOKIT*2 cpr 37,5 mg;28,65;17,37;-;ITC FARMA Srl;034837031;BOK;
C-13 Urea;C-13 UREA 75MG 1 UNITA' USO ORALE;CITREDICI UBT KIT*1 flacone orale 75 mg + 1 busta;40,32;18,33;-;RICHEN EUROPE Srl;034020014;BOL;
C-13 Urea;C-13 UREA 75MG 1 UNITA' USO ORALE;HELICOKIT*1 cpr 75 mg + kit;38,19;17,37;-;ITC FARMA Srl;034837017;BOL;
C-13 Urea;C-13 UREA 75MG 10ML USO ORALE;BREATHQUALITY-UBT*orale soluz 75 mg 10 ml;42,44;19,29;-;AB ANALITICA Srl;034510014;BOM;
C-13 Urea;C-13 UREA 75MG 18 UNITA' USO ORALE;HELICOKIT*18 cpr 75 mg;381,94;173,60;-;ITC FARMA Srl;034837029;BON;
C-13 Urea;C-13 UREA 50MG 1 UNITA' USO ORALE;HELIDIAG*1 cpr 50 mg;27,55;16,70;-;LABORATOIRES MAYOLY SPINDLER;048022014;MAF;
C-13 Urea;C-13 UREA 50MG 10 UNITA' USO ORALE;HELIDIAG*10x1 cpr 50 mg;220,45;133,57;-;LABORATOIRES MAYOLY SPINDLER;048022026;MAG;
Cabazitaxel;CABAZITAXEL 60MG 1 UNITA' USO PARENTERALE;CABAZITAXEL*1 flaconcino EV 20 mg/ml 3 ml;4476,20;2712,19;-;ACCORD HEALTHCARE SLU;048986018;AGO;
Cabazitaxel;CABAZITAXEL 60MG 1 UNITA' USO PARENTERALE;CABAZITAXEL*1 flaconcino EV 6 ml 10 mg/ml;4476,20;2712,19;-;EVER VALINJECT GMBH;048908038;AGO;
Cabazitaxel;CABAZITAXEL 60MG 1 UNITA' USO PARENTERALE;CABAZITAXEL*1 flaconcino EV 6 ml 10 mg/ml;4476,20;2712,19;-;TEVA B.V.;050156013;AGO;
Cabazitaxel;CABAZITAXEL 60MG 1 UNITA' USO PARENTERALE;CABAZITAXEL*1 flaconcino EV 60 mg;4476,20;2712,19;-;DR. REDDY'S Srl;048763015;AGO;
Cabazitaxel;CABAZITAXEL 60MG 1 UNITA' USO PARENTERALE;JEVTANA*1 flaconcino EV 60 mg 1,5 ml + 1 flaconcino solv 4,5 ml;6553,74;3971,00;-;SANOFI WINTHROP INDUSTRIE;041013018;AGO;
Cabazitaxel;CABAZITAXEL 45MG 1 UNITA' USO PARENTERALE;CABAZITAXEL*1 flaconcino EV 4,5 ml 10 mg/ml;3357,38;2034,28;-;EVER VALINJECT GMBH;048908014;LYI;
Cabotegravir;CABOTEGRAVIR 30MG 30 UNITA' USO ORALE;VOCABRIA*30 cpr riv 30 mg flacone;900,79;545,80;-;VIIV HEALTHCARE BV;049281013;LZD;
Cabotegravir;CABOTEGRAVIR 600MG 3ML 1 UNITA' USO PARENTERALE RP;VOCABRIA*1 flaconcino IM 3 ml 600 mg rilascio prolungato + 1 siringa + 1 adattatore per flaconcino + 1 ago;1795,70;1088,03;-;VIIV HEALTHCARE BV;049281037;LZE;
Cabozantinib;CABOZANTINIB 20MG 84 UNITA' USO ORALE;COMETRIQ*84 cps 20 mg;10128,50;6137,00;-;IPSEN PHARMA;043339047;JGB;
Cabozantinib;CABOZANTINIB 20MG 28 UNITA' + 80MG 28 UNITA' USO ORALE;COMETRIQ*28 cps 20 mg + 28 cps 80 mg;10128,50;6137,00;-;IPSEN PHARMA;043339050;JGC;
Cabozantinib;CABOZANTINIB 20MG 84 UNITA' + 80MG 28 UNITA' USO ORALE;COMETRIQ*84 cps 20 mg + 28 cps 80 mg;10128,50;6137,00;-;IPSEN PHARMA;043339062;JGD;
Cabozantinib;CABOZANTINIB 20MG 30 UNITA' USO ORALE;CABOMETYX*30 cpr riv 20 mg flacone;9607,19;5821,13;-;IPSEN PHARMA;045106022;KDL;
Cabozantinib;CABOZANTINIB 40MG 30 UNITA' USO ORALE;CABOMETYX*30 cpr riv 40 mg flacone;9607,19;5821,13;-;IPSEN PHARMA;045106046;KDM;
Cabozantinib;CABOZANTINIB 60MG 30 UNITA' USO ORALE;CABOMETYX*30 cpr riv 60 mg flacone;9607,19;5821,13;-;IPSEN PHARMA;045106061;KND;
Calcio levofolinato;CALCIO LEVOFOLINATO 100MG 1 UNITA' USO PARENTERALE;CALCIO LEVOFOLINATO*1 flaconcino 10 ml 10 mg/ml;15,42;9,34;-;TEVA B.V.;036086080;AGP;
Calcio levofolinato;CALCIO LEVOFOLINATO 100MG 1 UNITA' USO PARENTERALE;CALCIO LEVOFOLINATO*1 flacone EV 100 mg;15,42;9,34;-;PHARMACARE Srl;036159022;AGP;
Calcio levofolinato;CALCIO LEVOFOLINATO 100MG 1 UNITA' USO PARENTERALE;LEDERFOLIN*1 flaconcino EV 100 mg;33,13;15,06;-;PFIZER ITALIA Srl;024659195;AGP;
Calcio levofolinato;CALCIO LEVOFOLINATO 175MG 1 UNITA' USO PARENTERALE;CALCIO LEVOFOLINATO*1 flaconcino 17,5 ml 10 mg/ml;29,54;17,90;-;TEVA B.V.;036086104;AGQ;
Calcio levofolinato;CALCIO LEVOFOLINATO 175MG 1 UNITA' USO PARENTERALE;CALCIO LEVOFOLINATO*1 flacone EV 175 mg;29,54;17,90;-;PHARMACARE Srl;036159034;AGQ;
Calcio levofolinato;CALCIO LEVOFOLINATO 175MG 1 UNITA' USO PARENTERALE;LEDERFOLIN*1 flaconcino EV 175 mg;59,00;26,81;-;PFIZER ITALIA Srl;024659183;AGQ;
Canakinumab;CANAKINUMAB 150MG 1 UNITA' USO PARENTERALE;ILARIS*1 flaconcino SC 150 mg 1 ml;17246,68;10450,00;-;NOVARTIS EUROPHARM LTD;039472042;AGS;
Cangrelor;CANGRELOR 50MG 10 UNITA' USO PARENTERALE;KENGREXAL*10 flaconcini EV soluz infus 50 mg;4951,21;3000,01;-;CHIESI FARMACEUTICI SpA;044016018;DOL;
Caplacizumab;CAPLACIZUMAB 10MG 1 UNITA' USO PARENTERALE;CABLIVI*1 flaconcino EV SC 10 mg + 1 siringa 1 ml + 1 adattatore + 1 ago + 2 tamponi imbevuti di alcool;6719,48;4071,42;-;ABLYNX NV;046989012;KZJ;
Capmatinib;CAPMATINIB 150MG 120 UNITA' USO ORALE;TABRECTA*120 cpr riv 150 mg;11915,89;7220,00;-;NOVARTIS EUROPHARM LTD;050167028;MKZ;
Capmatinib;CAPMATINIB 200MG 120 UNITA' USO ORALE;TABRECTA*120 cpr riv 200 mg;11915,89;7220,00;-;NOVARTIS EUROPHARM LTD;050167042;MLB;
Capsaicina;CAPSAICINA 179MG 1 CEROTTO USO TOPICO;QUTENZA*1 cerotto cutaneo 179 mg + 1 gel detergente;430,77;261,00;-;GRUNENTHAL GmbH;040111015;AGT;
Carboplatino;CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 10 mg/ml 15 ml;67,03;40,61;-;HIKMA FARMACEUTICA S.A.;046416020;AGU;
Carboplatino;CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 10 mg/ml 15 ml;67,03;40,61;-;MEDAC GMBH;050385020;AGU;
Carboplatino;CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 150 mg 15 ml;98,35;44,71;-;PFIZER ITALIA Srl;032776027;AGU;
Carboplatino;CARBOPLATINO 150MG 15ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 150 mg 15 ml;67,03;40,61;-;ACCORD HEALTHCARE B.V.;039263025;AGU;
Carboplatino;CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 10 mg/ml 45 ml;195,76;118,61;-;HIKMA FARMACEUTICA S.A.;046416032;AGV;
Carboplatino;CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 10 mg/ml 45 ml;195,76;118,61;-;MEDAC GMBH;050385032;AGV;
Carboplatino;CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 450 mg 45 ml;260,94;118,61;-;PFIZER ITALIA Srl;032776039;AGV;
Carboplatino;CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 450 mg 45 ml;195,76;118,61;-;ACCORD HEALTHCARE B.V.;039263037;AGV;
Carboplatino;CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 10 mg/ml 5 ml;22,34;13,54;-;HIKMA FARMACEUTICA S.A.;046416018;AGW;
Carboplatino;CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 10 mg/ml 5 ml;22,34;13,54;-;MEDAC GMBH;050385018;AGW;
Carboplatino;CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 50 mg 5 ml;30,51;13,87;-;PFIZER ITALIA Srl;032776015;AGW;
Carboplatino;CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 50 mg 5 ml;22,34;13,54;-;ACCORD HEALTHCARE B.V.;039263013;AGW;
Carboplatino;CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 10 mg/ml 60 ml;285,33;172,88;-;HIKMA FARMACEUTICA S.A.;046416044;AGY;
Carboplatino;CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 10 mg/ml 60 ml;285,33;172,88;-;MEDAC GMBH;050385044;AGY;
Carboplatino;CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 600 mg 60 ml;285,33;172,88;-;TEVA PHARMA B.V.;034347068;AGY;
Carboplatino;CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 600 mg 60 ml;285,33;172,88;-;ACCORD HEALTHCARE B.V.;039263049;AGY;
Carboplatino;CARBOPLATINO 1.000MG 100ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 10 mg/ml 100 ml;357,59;216,67;-;MEDAC GMBH;050385057;DEW;
Carbossimaltosio ferrico;CARBOSSIMALTOSIO FERRICO 50MG/ML 10ML 1 UNITA' USO PARENTERALE;FERINJECT*1 flaconcino EV 10 ml 50 mg/ml;135,55;82,13;-;VIFOR FRANCE SA;040251035;CLY;
Carbossimaltosio ferrico;CARBOSSIMALTOSIO FERRICO 50MG/ML 2ML 5 UNITA' USO PARENTERALE;FERINJECT*5 flaconcini EV 2 ml 50 mg/ml;135,55;82,13;-;VIFOR FRANCE SA;040251023;CLZ;
Carfilzomib;CARFILZOMIB 60MG 1 UNITA' USO PARENTERALE;KYPROLIS*1 flaconcino EV 60 mg polv;1893,30;1147,17;-;AMGEN EUROPE B.V.;044553016;JJP;
Carfilzomib;CARFILZOMIB 10MG 1 UNITA' USO PARENTERALE;KYPROLIS*1 flaconcino EV 10 mg polv;315,55;191,20;-;AMGEN EUROPE B.V.;044553028;KHO;
Carfilzomib;CARFILZOMIB 30MG 1 UNITA' USO PARENTERALE;KYPROLIS*1 flaconcino EV 30 mg polv;946,64;573,58;-;AMGEN EUROPE B.V.;044553030;KHP;
Carmustina;CARMUSTINA 7,7MG 8 UNITA' USO INTRALESIONALE;GLIADEL*8 impianti intralesionali 7,7 mg;13107,47;7942,00;-;MGI PHARMA GMBH;034709016;AGZ;
Carmustina;CARMUSTINA 100 MG 5ML 1 UNITA' USO PARENTERALE;BICNU*1 flaconcino polvere 100 mg + 1 flaconcino solvente 5 ml;1159,42;702,50;-;TILLOMED ITALIA Srl;047811017;LDD;
Carmustina;CARMUSTINA 100 MG 3ML 1 UNITA' USO PARENTERALE;CARMUSTINA*1 flaconcino polvere EV 100 mg + 1 flaconcino solvente 3 ml;1159,42;702,50;-;WAYMADE B.V.;049733013;LPX;
Carmustina;CARMUSTINA 100 MG 3ML 1 UNITA' USO PARENTERALE;CARMUSTINE*1 flaconcino polvere EV 100 mg + 1 flaconcino solvente 3 ml;1159,42;702,50;-;MEDAC GMBH;046920017;LPX;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CANCIDAS*1 flaconcino EV 50 mg 10 ml;662,14;401,19;-;MERCK SHARP & DOHME BV;035493016;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 50 mg;437,01;264,79;-;EG SpA;044255014;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 50 mg;403,90;244,73;-;SUN PHARMA FRANCE;044438012;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 50 mg;403,90;244,73;-;MYLAN SpA;044784015;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 50 mg;364,52;220,87;-;TEVA ITALIA Srl;044983017;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 50 mg;403,90;244,73;-;HIKMA FARMACEUTICA S.A.;044998019;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv EV 50 mg;403,90;244,73;-;SANDOZ GMBH;044348011;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flacone polv EV 50 mg;364,52;220,87;-;LABORATORIOS LORIEN S.L.;044414011;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flacone polv EV 50 mg;364,52;220,87;-;TILLOMED ITALIA Srl;049634013;AHE;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CANCIDAS*1 flaconcino EV 70 mg 10 ml;842,21;510,31;-;MERCK SHARP & DOHME BV;035493030;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 70 mg;555,85;336,80;-;EG SpA;044255026;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 70 mg;513,75;311,29;-;SUN PHARMA FRANCE;044438024;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 70 mg;513,75;311,29;-;MYLAN SpA;044784027;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 70 mg;463,66;280,94;-;TEVA ITALIA Srl;044983029;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 70 mg;513,75;311,29;-;HIKMA FARMACEUTICA S.A.;044998021;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv EV 70 mg;516,87;313,17;-;SANDOZ GMBH;044348023;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flacone polv EV 70 mg;463,66;280,94;-;LABORATORIOS LORIEN S.L.;044414023;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flacone polv EV 70 mg;463,66;280,94;-;TILLOMED ITALIA Srl;049634025;AHF;
Cefazolina;CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE EV;CEFAZOLINA*1 flacone polv EV 1 g + 1 fiala solv 10 ml;3,56;1,62;-;K24 PHARMACEUTICALS Srl;033444074;DFR;
Cefazolina;CEFAZOLINA 1.000MG 10 UNITA' USO PARENTERALE;CEFAZOLINA*10 flaconcini EV IM polv 1 g;18,87;11,43;-;QILU PHARMA SPAIN S.L.;045611023;LBK;
Cefepime;CEFEPIME 1.000MG 10 UNITA' USO PARENTERALE;CEFEPIME*10 flaconcini polv EV 1 g;85,38;51,73;-;QILU PHARMA SPAIN S.L.;045990025;LQK;
Cefepime;CEFEPIME 2.000MG 10 UNITA' USO PARENTERALE;CEFEPIME*10 flaconcini polv EV 2 g;231,16;140,07;-;QILU PHARMA SPAIN S.L.;045990052;LQO;
Cefiderocol;CEFIDEROCOL 1G 10 UNITA' USO PARENTERALE;FETCROJA*10 flaconcini EV polv 1 g;2234,23;1353,75;-;SHIONOGI B.V.;048722019;LNT;
Cefotaxima;CEFOTAXIMA 1.000MG 10 UNITA' USO PARENTERALE;CEFOTAXIME*10 fiale EV 1 g;35,61;21,57;-;I.B.I.GIOVANNI LORENZINI SpA;035118052;AHL;
Cefotaxima;CEFOTAXIMA 2.000MG 1 UNITA' USO PARENTERALE;CEFOTAXIMA*1 flacone EV 2 g + 1 fiala solv 10 ml;9,49;4,31;-;TEVA ITALIA Srl;035374014;AHM;
Cefotaxima;CEFOTAXIMA 2.000MG 1 UNITA' USO PARENTERALE;TAXIME*1 fiala EV 2 g + 1 fiala solv 10 ml;9,49;4,31;-;PHARMATEX ITALIA Srl;035068042;AHM;
Cefoxitina;CEFOXITINA 1.000MG 10ML 1 UNITA' USO PARENTERALE EV;MEFOXIN*1 fiala EV 1 g + 1 fiala solv 10 ml;6,59;2,99;-;I.B.N. SAVIO Srl;024027029;AHN;
Ceftarolina fosamil;CEFTAROLINA FOSAMIL 600MG 10 UNITA' USO PARENTERALE;ZINFORO*10 flaconcini EV 600 mg polv;813,68;493,02;-;PFIZER IRELAND PHARMACEUTICALS;042352017;CAF;
Ceftazidima;CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flaconcino EV 1 g + 1 fiala solv 10 ml;9,37;5,68;-;FRESENIUS KABI ITALIA Srl;036591042;AHP;
Ceftazidima;CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flacone EV 1 g 10 ml;9,37;5,68;-;ASTRO-PHARMA VERTRIEB GMBH;036459028;AHP;
Ceftazidima;CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flacone EV 1 g/10 ml + 1 fiala solv 10 ml;9,37;5,68;-;BIOPHARMA Srl;036012045;AHP;
Ceftazidima;CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV;GLAZIDIM VENA 1*1 flaconcino EV 1 g + 1 fiala solv 10 ml;19,21;8,73;-;SANDOZ SpA;025212046;AHP;
Ceftazidima;CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV;TOTTIZIM*1 flacone EV 1 g + 1 fiala solv 10 ml;9,37;5,68;-;SO.SE.PHARM Srl;036501031;AHP;
Ceftazidima;CEFTAZIDIMA 1.000MG 10 UNITA' USO PARENTERALE IM EV;CEFTAZIDIMA*10 flaconi polv EV 1 g;51,39;31,14;-;QILU PHARMA SPAIN S.L.;045576055;AHQ;
Ceftazidima;CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flacone EV 2 g;19,92;12,07;-;BIOPHARMA Srl;036012058;AHR;
Ceftazidima;CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flacone EV 2 g;19,92;12,07;-;ASTRO-PHARMA VERTRIEB GMBH;036459030;AHR;
Ceftazidima;CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flacone EV 2 g;19,92;12,07;-;FRESENIUS KABI ITALIA Srl;036591055;AHR;
Ceftazidima;CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV;GLAZIDIM VENA 2*1 flaconcino soluz infus 2 g;40,83;18,55;-;SANDOZ SpA;025212059;AHR;
Ceftazidima;CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV;TOTTIZIM*1 flaconcino EV 2 g;19,92;12,07;-;SO.SE.PHARM Srl;036501043;AHR;
Ceftazidima;CEFTAZIDIMA 2.000MG 10 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*10 flaconi polv EV 2 g;102,78;62,27;-;QILU PHARMA SPAIN S.L.;045576081;LGF;
