Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Prezzo al pubblico �,Titolare AIC,AIC,Codice Gruppo Equivalenza,X=in lista di trasparenza Aifa 15/10/2024,Solo in lista di Regione:,Metri cubi ossigeno
Captopril,CAPTOPRIL 50MG 24 UNITA' USO ORALE,CAPTOPRIL*24 cpr 50 mg,"3,95",EG SpA,35036161,57B,X,,
Captopril,CAPTOPRIL 50MG 24 UNITA' USO ORALE,CAPTOPRIL*24 cpr 50 mg,"3,95",MYLAN SpA,35317561,57B,X,,
Captopril/idroclorotiazide,CAPTOPRIL+IDROCLOROTIAZIDE 50+25MG 12 UNITA' USO ORALE,ACEDIUR*12 cpr 50 mg + 25 mg,"3,09",A.MENARINI IND.FARM.RIUN.Srl,25767017,CPA,X,,
Captopril/idroclorotiazide,CAPTOPRIL+IDROCLOROTIAZIDE 50+25MG 12 UNITA' USO ORALE,CAPTOPRIL E IDROCLOROTIAZIDE*12 cpr 50 mg + 25 mg,"2,27",MYLAN SpA,36770016,CPA,X,,
Captopril/idroclorotiazide,CAPTOPRIL+IDROCLOROTIAZIDE 50+15MG 12 UNITA' USO ORALE,ACEDIUR*12 cpr 50 mg + 15 mg,"7,76",A.MENARINI IND.FARM.RIUN.Srl,25767029,CPB,,,
Carbamazepina,CARBAMAZEPINA 2% 250ML USO ORALE,TEGRETOL*BB 1 flacone 250 ml 20 mg/ml sciroppo,"5,95",NOVARTIS FARMA SpA,20602037,58A,,,
Carbamazepina,CARBAMAZEPINA 200MG 30 UNITA' USO ORALE RP,TEGRETOL*30 cpr 200 mg rilascio modificato,"4,09",NOVARTIS FARMA SpA,20602049,58B,X,,
Carbamazepina,CARBAMAZEPINA 200MG 30 UNITA' USO ORALE RP,CARBAMAZEPINA*30 cpr 200 mg rilascio prolungato,"3,08",ZENTIVA ITALIA Srl,47982018,58B,X,,
Carbamazepina,CARBAMAZEPINA 200MG 50 UNITA' USO ORALE,TEGRETOL*50 cpr 200 mg,"4,68",NOVARTIS FARMA SpA,20602013,58C,X,,
Carbamazepina,CARBAMAZEPINA 200MG 50 UNITA' USO ORALE,CARBAMAZEPINA*50 cpr 200 mg,"3,96",EG SpA,33878012,58C,X,,
Carbamazepina,CARBAMAZEPINA 400MG 30 UNITA' USO ORALE,TEGRETOL*30 cpr 400 mg,"5,85",NOVARTIS FARMA SpA,20602025,58D,X,,
Carbamazepina,CARBAMAZEPINA 400MG 30 UNITA' USO ORALE,CARBAMAZEPINA*30 cpr 400 mg,"5,21",EG SpA,33878024,58D,X,,
Carbamazepina,CARBAMAZEPINA 400MG 30 UNITA' USO ORALE RP,TEGRETOL*30 cpr 400 mg rilascio modificato,"6,47",NOVARTIS FARMA SpA,20602052,58E,X,,
Carbamazepina,CARBAMAZEPINA 400MG 30 UNITA' USO ORALE RP,CARBAMAZEPINA*30 cpr 400 mg rilascio prolungato,"4,85",ZENTIVA ITALIA Srl,47982069,58E,X,,
Carbomer,"CARBOMER 0,5G 30 UNITA' GEL USO OFTALMICO","SICCAFLUID*gel oftalmico 30 monodosi 0,5 g 2,5 mg/g","5,71",THEA FARMA SpA,33816048,ISB,,,
Cariprazina,"CARIPRAZINA 1,5MG 30 UNITA' USO ORALE","REAGILA*30 cps 1,5 mg","67,50",GEDEON RICHTER PLC,45490048,KMG,,,
Cariprazina,CARIPRAZINA 3MG 30 UNITA' USO ORALE,REAGILA*30 cps 3 mg,"67,50",GEDEON RICHTER PLC,45490149,KMH,,,
Cariprazina,"CARIPRAZINA 4,5MG 30 UNITA' USO ORALE","REAGILA*30 cps 4,5 mg","67,50",GEDEON RICHTER PLC,45490226,KMI,,,
Cariprazina,CARIPRAZINA 6MG 30 UNITA' USO ORALE,REAGILA*30 cps 6 mg,"67,50",GEDEON RICHTER PLC,45490303,KMJ,,,
Carteololo,"CARTEOLOLO 1% 0,2ML 30 UNITA' SOLUZIONE USO OFTALMICO RP","FORTIDOSE*collirio 30 flaconcini 0,2 ml 1% rilascio prolungato","7,72",BAUSCH & LOMB-IOM SpA,39626027,ITA,,,
Carteololo,CARTEOLOLO 1% 30 UNITA' SOLUZIONE USO OFTALMICO,"CARTEOL*collirio 30 monodosi 0,3 ml 1%","5,94",SIFI SpA,26057036,ITB,,,
Carteololo,CARTEOLOLO 1% 3ML SOLUZIONE USO OFTALMICO RP,FORTINOL*collirio 3 ml 1% rilascio prolungato,"4,60",BAUSCH & LOMB-IOM SpA,38373015,ITC,,,
Carteololo,CARTEOLOLO 1% 5ML SOLUZIONE USO OFTALMICO,CARTEOL*collirio 5 ml 1%,"4,80",SIFI SpA,26057012,ITD,,,
Carteololo,CARTEOLOLO 1% 5ML SOLUZIONE USO OFTALMICO,CARTEABAK*collirio 5 ml 1%,"9,96",LABORATOIRES THEA,37506019,ITD,,,
Carteololo,"CARTEOLOLO 2% 30 UNITA' 0,2ML SOLUZIONE USO OFTALMICO RP","FORTIDOSE*collirio 30 flaconcini 0,2 ml 2% rilascio prolungato","11,30",BAUSCH & LOMB-IOM SpA,39626039,ITE,,,
Carteololo,"CARTEOLOLO 2% 30 UNITA' 0,3ML SOLUZIONE USO OFTALMICO","CARTEOL*collirio 30 monodosi 0,3 ml 2%","8,47",SIFI SpA,26057048,ITF,,,
Carteololo,CARTEOLOLO 2% 3ML SOLUZIONE USO OFTALMICO RP,FORTINOL*collirio 3 ml 2% rilascio prolungato,"4,65",BAUSCH & LOMB-IOM SpA,38373027,ITG,,,
Carteololo,CARTEOLOLO 2% 5ML SOLUZIONE USO OFTALMICO,CARTEOL*collirio 5 ml 2%,"4,85",SIFI SpA,26057024,ITH,,,
Carteololo,CARTEOLOLO 2% 5ML SOLUZIONE USO OFTALMICO,CARTEABAK*collirio 5 ml 2%,"14,22",LABORATOIRES THEA,37506033,ITH,,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","DILATREND*28 cpr div 6,25 mg","5,30",CHEPLAPHARM ARZNEIMITTEL GMBH,27604040,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr div 6,25 mg","3,62",ACCORD HEALTHCARE SLU,36335014,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr 6,25 mg","3,62",SUN PHARMACEUTICAL IND.EU.B.V.,36338010,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARAVEL*28 cpr 6,25 mg","4,51",SPA (SOC.PRO.ANTIBIOTICI) SpA,36339012,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr 6,25 mg","3,62",EG SpA,36355055,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr div 6,25 mg","3,62",TECNIGEN Srl,36400012,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr 6,25 mg","3,62",TOWA PHARMACEUTICAL SpA,36407017,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr riv 6,25 mg","3,62",MYLAN SpA,36453278,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr 6,25 mg","3,62",SANDOZ SpA,36454027,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr 6,25 mg","3,62",SANDOZ SpA,36457202,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr 6,25 mg","3,62",DOC GENERICI Srl,36462012,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","COLVER*28 cpr 6,25 mg","3,62",S.F. GROUP Srl,36470019,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr 6,25 mg","3,62",ALMUS Srl,36471011,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CURCIX*28 cpr div 6,25 mg","3,62",SO.SE.PHARM Srl,36512010,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","OMERIA*28 cpr div 6,25 mg","3,98",NEOPHARMED GENTILI SpA,36522011,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr 6,25 mg","3,62",TEVA ITALIA Srl,36779080,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr riv 6,25 mg","3,62",ZENTIVA ITALIA Srl,37144033,C2A,X,,
Carvedilolo,"CARVEDILOLO 6,25MG 28 UNITA' USO ORALE","CARVEDILOLO*28 cpr riv 6,25 mg","3,62",AUROBINDO PHARMA ITALIA Srl,42234017,C2A,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,DILATREND*30 cpr div 25 mg,"7,56",CHEPLAPHARM ARZNEIMITTEL GMBH,27604014,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVIPRESS*30 cpr div 25 mg,"7,56",VISUFARMA SpA,27606019,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARAVEL*30 cpr 25 mg,"7,56",SPA (SOC.PRO.ANTIBIOTICI) SpA,36339024,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr 25 mg,"6,06",EG SpA,36355283,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr div 25 mg,"6,06",TECNIGEN Srl,36400024,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr 25 mg,"6,06",TOWA PHARMACEUTICAL SpA,36407029,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr riv 25 mg,"6,06",MYLAN SpA,36453607,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr 25 mg,"6,06",SANDOZ SpA,36454320,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr 25 mg,"6,06",SANDOZ SpA,36457556,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr 25 mg,"6,06",DOC GENERICI Srl,36462024,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,COLVER*30 cpr 25 mg,"6,06",S.F. GROUP Srl,36470021,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr 25 mg,"6,06",ALMUS Srl,36471023,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CURCIX*30 cpr div 25 mg,"6,06",SO.SE.PHARM Srl,36512022,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,OMERIA*30 cpr div 25 mg,"6,06",NEOPHARMED GENTILI SpA,36522023,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr 25 mg,"6,06",TEVA ITALIA Srl,36779256,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr riv 25 mg,"6,06",ZENTIVA ITALIA Srl,37144209,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,DILATREND*30 cpr div 25 mg,"7,56",PROGRAMMI SANIT.INTEGRATI Srl,39328024,C2B,X,,
Carvedilolo,CARVEDILOLO 25MG 30 UNITA' USO ORALE,CARVEDILOLO*30 cpr riv 25 mg,"6,06",AUROBINDO PHARMA ITALIA Srl,42234068,C2B,X,,
Carvedilolo,"CARVEDILOLO 12,5MG 28 UNITA' USO ORALE","ACARDEN*28 cpr 12,5 mg","7,96",SO.SE.PHARM Srl,35987054,C2C,,,
Catridecacog,"CATRIDECACOG (FATTORE XIII DI COAGULAZIONE, RICOMBINANTE) 2.500UI 3,2ML 1 UNITA' USO PARENTERALE","NOVOTHIRTEEN*1 flaconcino EV 2.500 Unita' Internazionali + 1 flaconcino 3,2 ml","33274,19",NOVO NORDISK A/S,43034014,CAK,,,
Cefaclor,CEFACLORO 5% 100ML USO ORALE,PANACEF*orale sosp grat 100 ml 250 mg/5 ml flacone,"8,56",VALEAS IND.CHIM.FARMAC. SpA,24227050,21A,X,,
Cefaclor,CEFACLORO 5% 100ML USO ORALE,KLIACEF*orale sosp grat 100 ml 250 mg/5 ml flacone,"7,68",SO.SE.PHARM Srl,33083027,21A,X,,
Cefaclor,CEFACLORO 5% 100ML USO ORALE,MACOVAN*orale sosp grat 100 ml 250 mg/5 ml flacone,"7,68",S.F. GROUP Srl,33114036,21A,X,,
Cefaclor,CEFACLORO 5% 100ML USO ORALE,PERFORMER*orale sosp grat 100 ml 250 mg/5 ml flacone,"7,68",PIAM FARMACEUTICI SpA,34504023,21A,X,,
Cefaclor,CEFACLORO 5% 100ML USO ORALE,VALECLOR*orale sosp grat 100 ml 250 mg/5 ml flacone,"7,68",SIAR PHARMA Srl,34587028,21A,X,,
Cefaclor,CEFACLORO 5% 100ML USO ORALE,BACTIGRAM*orale sosp grat 100 ml 250 mg/5 ml flacone,"7,68",AESCULAPIUS FARMACEUTICI Srl,34619015,21A,X,,
Cefaclor,CEFACLORO 5% 100ML USO ORALE,CEFACLOR*orale sosp grat 100 ml 250 mg/5 ml flacone,"7,81",K24 PHARMACEUTICALS Srl,34636023,21A,X,,
Cefaclor,CEFACLORO 500MG 8 UNITA' USO ORALE,PANACEF*8 cps 500 mg,"7,64",VALEAS IND.CHIM.FARMAC. SpA,24227023,21C,X,,
Cefaclor,CEFACLORO 500MG 8 UNITA' USO ORALE,BACTIGRAM*8 cps 500 mg,"6,29",AESCULAPIUS FARMACEUTICI Srl,34619027,21C,X,,
Cefaclor,CEFACLORO 500MG 8 UNITA' USO ORALE,CEFACLOR*8 cps 500 mg,"6,41",K24 PHARMACEUTICALS Srl,34636011,21C,X,,
Cefaclor,CEFACLORO 750MG 6 UNITA' USO ORALE,PANACEF*6 cpr 750 mg rilascio modificato,"11,06",VALEAS IND.CHIM.FARMAC. SpA,24227098,21D,X,,
Cefaclor,CEFACLORO 750MG 6 UNITA' USO ORALE,CLORAZER*6 cpr 750 mg rilascio modificato,"9,16",BIOMED PHARMA Srl,28678035,21D,X,,
Cefaclor,CEFACLORO 750MG 6 UNITA' USO ORALE,MACOVAN*6 cpr 750 mg rilascio modificato,"9,16",S.F. GROUP Srl,33114048,21D,X,,
Cefaclor,CEFACLORO 750MG 6 UNITA' USO ORALE,PERFORMER*6 cpr 750 mg rilascio modificato,"11,06",PIAM FARMACEUTICI SpA,34504035,21D,X,,
Cefaclor,CEFACLORO 750MG 6 UNITA' USO ORALE,NECLORAL*6 cpr 750 mg rilascio modificato,"9,16",NEW RESEARCH Srl,34514036,21D,X,,
Cefaclor,CEFACLORO 750MG 6 UNITA' USO ORALE,CEFACLOR*6 cpr 750 mg rilascio modificato,"9,16",EG SpA,34610042,21D,X,,
Cefaclor,CEFACLORO 750MG 6 UNITA' USO ORALE,BACTIGRAM*6 cpr 750 mg rilascio modificato,"9,16",AESCULAPIUS FARMACEUTICI Srl,34619039,21D,X,,
Cefaclor,CEFACLORO 750MG 6 UNITA' USO ORALE,SELVICLOR*6 cpr 750 mg rilascio modificato,"9,16",LANOVA FARMACEUTICI Srl,34652014,21D,X,,
Cefalexina,CEFALEXINA 5% 100ML USO ORALE,KEFORAL*grat orale sosp 100 ml 5%,"5,80",S.F. GROUP Srl,22085068,59A,,,
Cefalexina,CEFALEXINA 500MG 8 UNITA' USO ORALE,KEFORAL*8 cpr riv 500 mg,"4,45",S.F. GROUP Srl,22085056,59D,,,
Cefalexina,CEFALEXINA 1.000MG 8 UNITA' USO ORALE,KEFORAL*8 cpr riv 1 g,"7,07",S.F. GROUP Srl,22085082,59E,,,
Cefalexina,CEFALEXINA 1.000MG 8 UNITA' USO ORALE,CEPOREX*8 cpr riv 1 g,"7,07",TEOFARMA Srl,22086110,59E,,,
Cefazolina,CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE,CEFAZOLINA*1 fiala IM 1 g + 1 fiala solv 4 ml,"1,89",TEVA ITALIA Srl,23853031,20A,X,,
Cefazolina,CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE,CEFAZIL*1 fiala IM 1 g + 1 fiala solv 4 ml,"3,88",ITALFARMACO SpA,23916051,20A,X,,
Cefazolina,CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE,CEFAZOLINA*1 fiala IM 1 g + 1 fiala solv 4 ml,"1,89",PHARMACARE Srl,24127019,20A,X,,
Cefazolina,CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE,NEFAZOL*1 fiala IM 1 g + 1 fiala solv 4 ml,"1,89",NEW RESEARCH Srl,33123011,20A,X,,
Cefazolina,CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE,CEFAZOLINA*1 fiala IM 1 g + 1 fiala solv 4 ml,"1,89",S.F. GROUP Srl,33575010,20A,X,,
Cefditoren,CEFDITOREN 200MG 20 UNITA' USO ORALE,GIASION*20 cpr riv 200 mg,"35,75",ZAMBON ITALIA Srl,37146026,IUA,,,
Cefditoren,CEFDITOREN 200MG 20 UNITA' USO ORALE,REDEGUAN*20 cpr riv 200 mg,"35,75",ZAMBON ITALIA Srl,37147028,IUA,,,
Cefditoren,CEFDITOREN 400MG 10 UNITA' USO ORALE,GIASION*10 cpr riv 400 mg,"35,75",ZAMBON ITALIA Srl,37146040,IUB,,,
Cefepime,CEFEPIME 1.000MG 1 UNITA' USO PARENTERALE,CEPIM*1 fiala IM EV 1 g + 1 fiala solv 3 ml,"8,54",POLIFARMA SpA,28896025,IVA,,,
Cefepime,CEFEPIME 1.000MG 1 UNITA' USO PARENTERALE,CEPIMEX*1 fiala IM EV 1 g + 1 fiala solv 3 ml,"8,54",BRUNO FARMACEUTICI SpA,28900025,IVA,,,
Cefixima,CEFIXIMA 2% 100ML USO ORALE,CEFIXORAL*orale grat sosp 100 ml 100 mg/5 ml,"13,60",A.MENARINI IND.FARM.RIUN.Srl,27134105,DUA,X,,
Cefixima,CEFIXIMA 2% 100ML USO ORALE,UNIXIME*orale grat sosp 100 ml 100 mg/5 ml + siringa,"13,60",F.I.R.M.A. SpA,27152091,DUA,X,,
Cefixima,CEFIXIMA 2% 100ML USO ORALE,SUPRACEF*orale grat sosp 100 ml 100 mg/5 ml,"10,07",IST.LUSOFARMACO D'ITALIA SpA,28855056,DUA,X,,
Cefixima,CEFIXIMA 2% 100ML USO ORALE,CEFIXIMA*polv orale sosp 100 ml 100 mg/5 ml,"10,07",EG SpA,41391083,DUA,X,,
Cefixima,CEFIXIMA 2% 100ML USO ORALE,CEFIXIMA*polv orale sosp 100 ml 100 mg/5 ml flacone vetro con siringa graduata,"10,07",AUROBINDO PHARMA ITALIA Srl,47003025,DUA,X,,
Cefixima,CEFIXIMA 400MG 5 UNITA' USO ORALE,CEFIXORAL*5 cpr riv 400 mg,"11,97",A.MENARINI IND.FARM.RIUN.Srl,27134030,DUB,X,,
Cefixima,CEFIXIMA 400MG 5 UNITA' USO ORALE,CEFIXORAL*5 cpr dispers 400 mg,"11,97",A.MENARINI IND.FARM.RIUN.Srl,27134081,DUB,X,,
Cefixima,CEFIXIMA 400MG 5 UNITA' USO ORALE,UNIXIME*5 cpr riv 400 mg,"11,97",F.I.R.M.A. SpA,27152038,DUB,X,,
Cefixima,CEFIXIMA 400MG 5 UNITA' USO ORALE,UNIXIME*5 cpr orodispers 400 mg,"11,97",F.I.R.M.A. SpA,27152077,DUB,X,,
Cefixima,CEFIXIMA 400MG 5 UNITA' USO ORALE,SUPRACEF*5 cpr dispers 400 mg,"11,97",IST.LUSOFARMACO D'ITALIA SpA,28855068,DUB,X,,
Cefixima,CEFIXIMA 400MG 5 UNITA' USO ORALE,STADIUM*5 cpr riv 400 mg,"9,66",S.F. GROUP Srl,39308010,DUB,X,,
Cefixima,CEFIXIMA 400MG 5 UNITA' USO ORALE,CEFIXIMA*5 cpr riv 400 mg,"9,66",EG SpA,41391018,DUB,X,,
Cefixima,CEFIXIMA 400MG 5 UNITA' USO ORALE,CEFIXIMA*5 cpr riv 400 mg,"9,66",DOC GENERICI Srl,42117010,DUB,X,,
Cefixima,CEFIXIMA 400MG 5 UNITA' USO ORALE,CEFIXIMA*5 cpr riv 400 mg,"9,66",AUROBINDO PHARMA ITALIA Srl,44331015,DUB,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,ZARIVIZ*1 fiala IM EV 1 g + 1 fiala solv 4 ml,"4,85",AMDIPHARM LTD,24259032,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,ZARIVIZ*1 fiala IM 1 g + 1 fiala solv 4 ml con lidocaina,"4,85",AMDIPHARM LTD,24259044,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,ZIMANEL*1 fiala IM 1 g + 1 fiala solv 4 ml,"3,40",PROGE FARM Srl,34426015,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIME*1 fiala IM EV 1 g + 1 fiala solv,"3,40",MYLAN SpA,34994032,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIME*1 fiala IM 1 g + 1 fiala solv 4 ml,"3,40",MYLAN SpA,34994044,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,TAXIME*1 fiala IM EV 1 g + 1 fiala solv 4 ml,"5,79",PHARMATEX ITALIA Srl,35068028,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,TAXIME*1 fiala IM 1 g + 1 fiala solv 4 ml,"5,79",PHARMATEX ITALIA Srl,35068030,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIME*1 fiala IM 1 g + 1 fiala solv 4 ml,"5,51",I.B.I.GIOVANNI LORENZINI SpA,35118013,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIME*1 fiala IM EV 1 g + 1 fiala solv 4 ml,"5,51",I.B.I.GIOVANNI LORENZINI SpA,35118025,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,BATIXIM*1 fiala IM 1 g + 1 fiala solv 4 ml,"3,40",SO.SE.PHARM Srl,35207024,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,BATIXIM*1 fiala IM EV 1 g + 1 fiala 4 ml,"5,80",SO.SE.PHARM Srl,35207036,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIMA*1 fiala IM EV + 1 fiala solv 4 ml,"3,40",TEVA ITALIA Srl,35374038,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIMA*1 fiala IM 1 g + 1 fiala solv 4 ml,"3,40",TEVA ITALIA Srl,35374040,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIMA*1 flaconcino IM 1 g + 1 fiala solv 4 ml,"3,40",ABC FARMACEUTICI SpA,35375029,ASA,X,,
Cefotaxima,CEFOTAXIMA 1.000MG 1 UNITA' USO PARENTERALE,CEFOTAXIMA*1 fiala IM 1 g + 1 fiala solv 4 ml,"3,40",EG SpA,35441017,ASA,X,,
Cefotaxima,CEFOTAXIMA 500MG 1 UNITA' USO PARENTERALE,TAXIME*1 fiala IM EV 500 mg + 1 fiala solv 2 ml,"3,93",PHARMATEX ITALIA Srl,35068016,ASC,,,
Cefpodoxima,"CEFPODOXIMA 0,8% 100ML USO ORALE",OTREON*orale sosp grat 100 ml 40 mg/5 ml,"9,39",DAIICHI SANKYO ITALIA SpA,27969031,FFA,X,,
Cefpodoxima,"CEFPODOXIMA 0,8% 100ML USO ORALE",ORELOX*BB orale sosp grat 100 ml 40 mg/5 ml,"9,39",SANOFI Srl,27970033,FFA,X,,
Cefpodoxima,"CEFPODOXIMA 0,8% 100ML USO ORALE",CEFODOX*BB orale sosp grat 100 ml 40 mg/5 ml,"9,39",SCHARPER SpA,28463038,FFA,X,,
Cefpodoxima,"CEFPODOXIMA 0,8% 100ML USO ORALE",CEFPODOXIMA*orale sosp polv 100 ml 40 mg/5 ml,"8,39",SANDOZ SpA,39962168,FFA,X,,
Cefpodoxima,"CEFPODOXIMA 0,8% 100ML USO ORALE",PROXEDOX*orale sosp grat 100 ml 40 mg/5 ml,"8,39",SO.SE.PHARM Srl,40010035,FFA,X,,
Cefpodoxima,"CEFPODOXIMA 0,8% 100ML USO ORALE",CEFPODOXIMA*orale sosp grat 100 ml 40 mg/5 ml,"8,39",MYLAN SpA,41859164,FFA,X,,
Cefpodoxima,CEFPODOXIMA 100MG 12 UNITA' USO ORALE,OTREON*12 cpr riv 100 mg,"9,60",DAIICHI SANKYO ITALIA SpA,27969017,FFB,X,,
Cefpodoxima,CEFPODOXIMA 100MG 12 UNITA' USO ORALE,ORELOX*12 cpr riv 100 mg,"9,60",SANOFI Srl,27970019,FFB,X,,
Cefpodoxima,CEFPODOXIMA 100MG 12 UNITA' USO ORALE,CEFODOX*12 cpr riv 100 mg,"9,60",SCHARPER SpA,28463014,FFB,X,,
Cefpodoxima,CEFPODOXIMA 100MG 12 UNITA' USO ORALE,PROXEDOX*12 cpr riv 100 mg,"8,60",SO.SE.PHARM Srl,40010011,FFB,X,,
Cefpodoxima,CEFPODOXIMA 100MG 12 UNITA' USO ORALE,CEFPODOXIMA*12 cpr riv 100 mg,"8,60",MYLAN SpA,41859188,FFB,X,,
Cefpodoxima,CEFPODOXIMA 200MG 6 UNITA' USO ORALE,OTREON*6 cpr riv 200 mg,"9,77",DAIICHI SANKYO ITALIA SpA,27969043,FFC,X,,
Cefpodoxima,CEFPODOXIMA 200MG 6 UNITA' USO ORALE,ORELOX*6 cpr riv 200 mg,"9,77",SANOFI Srl,27970045,FFC,X,,
Cefpodoxima,CEFPODOXIMA 200MG 6 UNITA' USO ORALE,CEFODOX*6 cpr riv 200 mg,"9,77",SCHARPER SpA,28463040,FFC,X,,
Cefpodoxima,CEFPODOXIMA 200MG 6 UNITA' USO ORALE,CEFPODOXIMA*6 cpr riv 200 mg,"8,77",SANDOZ SpA,39962079,FFC,X,,
Cefpodoxima,CEFPODOXIMA 200MG 6 UNITA' USO ORALE,CEFPODOXIMA*6 cpr riv 200 mg,"8,77",SANDOZ SpA,39962117,FFC,X,,
Cefpodoxima,CEFPODOXIMA 200MG 6 UNITA' USO ORALE,PROXEDOX*6 cpr riv 200 mg,"8,77",SO.SE.PHARM Srl,40010023,FFC,X,,
