Principio Attivo,Descrizione Gruppo,Denominazione e Confezione,Titolare AIC,AIC,Codice Gruppo Equivalenza,ATC,URL,PDF URL,4.1 Indicazioni terapeutiche,4.2 Posologia e modo di somministrazione,4.3 Controindicazioni,4.4 Avvertenze speciali e precauzioni di impiego,4.5 Interazioni con altri medicinali ed altre forme di interazione,"4.6 Fertilità, gravidanza e allattamento",4.7 Effetti sulla capacità di guidare veicoli e sull’uso di macchinari,4.8 Effetti indesiderati,4.9 Sovradosaggio,6.2 Incompatibilità
Ciclesonide,CICLESONIDE 160MCG 60 DOSI USO RESPIRATORIO,ALVESCO*soluz inal 60 erog 160 mcg,COVIS PHARMA EUROPE BV,38873055,J3A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclesonide,CICLESONIDE 80MCG 60 DOSI USO RESPIRATORIO,ALVESCO*soluz inal 60 erog 80 mcg,COVIS PHARMA EUROPE BV,38873030,J3B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclofosfamide,CICLOFOSFAMIDE 50MG 50 UNITA' USO ORALE,ENDOXAN*50 cpr riv 50 mg,BAXTER SpA,15628011,J4A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 1MG/ML 30 UNITA' USO OFTALMICO,"IKERVIS*collirio emuls 30 contenitori monodose 1 mg/ml 0,3 mg 0,3 ml",SANTEN OY,44013011,DGW,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 100MG 30 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE,SANDIMMUN NEORAL*30 cps molli 100 mg,NOVARTIS FARMA SpA,29453038,J5A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 100MG 30 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE,CIQORIN*30x1 cps molli 100 mg,TEVA ITALIA Srl,42787299,J5A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 100MG/ML 50ML USO ORALE PICCO EMATICO 1 - 6 ORE,SANDIMMUN*orale soluz 50 ml 100 mg/ml + siringa,NOVARTIS FARMA SpA,25306010,J5B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 10MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE,SANDIMMUN NEORAL*50 cps molli 10 mg,NOVARTIS FARMA SpA,29453053,J5C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 10MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE,CIQORIN*50x1 cps molli 10 mg,TEVA ITALIA Srl,42787251,J5C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 25MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE,SANDIMMUN NEORAL*50 cps molli 25 mg,NOVARTIS FARMA SpA,29453014,J5D,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 25MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE,CIQORIN*50x1 cps molli 25 mg,TEVA ITALIA Srl,42787263,J5D,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 50MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE,SANDIMMUN NEORAL*50 cps molli 50 mg,NOVARTIS FARMA SpA,29453026,J5E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 50MG 50 UNITA' USO ORALE PICCO EMATICO 1 - 2 ORE,CIQORIN*50x1 cps molli 50 mg,TEVA ITALIA Srl,42787275,J5E,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 50MG/ML 5ML 10 UNITA' USO PARENTERALE,SANDIMMUN*10 fiale EV 250 mg 5 ml,NOVARTIS FARMA SpA,25306022,J5F,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 25MG 50 UNITA' USO ORALE PICCO EMATICO 5 - 6 ORE,SANDIMMUN*50 cps molli 25 mg,NOVARTIS FARMA SpA,25306034,JCX,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 50MG 50 UNITA' USO ORALE PICCO EMATICO 5 - 6 ORE,SANDIMMUN*50 cps molli 50 mg,NOVARTIS FARMA SpA,25306046,JCY,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 100MG 30 UNITA' USO ORALE PICCO EMATICO 5 - 6 ORE,SANDIMMUN*30 cps molli 100 mg,NOVARTIS FARMA SpA,25306059,JCZ,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 100MG/ML 50ML USO ORALE PICCO EMATICO 1 - 2 ORE,SANDIMMUN NEORAL*orale soluz 50 ml 100 mg/ml,NOVARTIS FARMA SpA,29453040,JVR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciclosporina,CICLOSPORINA 1MG/ML 120 UNITA' USO OFTALMICO,"VERKAZIA*collirio emuls 120 contenitori monodose 1 mg/ml 0,3 ml",SANTEN OY,46918049,LCR,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cilazapril,CILAZAPRIL 5MG 14 UNITA' USO ORALE,INIBACE*14 cpr riv 5 mg,CHEPLAPHARM ARZNEIMITTEL GMBH,27460043,J6A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cilazapril,CILAZAPRIL 5MG 14 UNITA' USO ORALE,INITISS*14 cpr riv 5 mg,TEOFARMA Srl,27464041,J6A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cilazapril/idroclorotiazide,"CILAZAPRIL+IDROCLOROTIAZIDE 5+12,5MG 14 UNITA' USO ORALE","INIBACE PLUS*14 cpr riv 5 mg + 12,5 mg",CHEPLAPHARM ARZNEIMITTEL GMBH,29103013,J7A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cilazapril/idroclorotiazide,"CILAZAPRIL+IDROCLOROTIAZIDE 5+12,5MG 14 UNITA' USO ORALE","INITISS PLUS*14 cpr 5 mg + 12,5 mg",TEOFARMA Srl,29116011,J7A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 30MG 28 UNITA' USO ORALE,MIMPARA*28 cpr riv 30 mg,AMGEN EUROPE B.V.,36598023,J9A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 30MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 30 mg,MYLAN PHARMACEUTICALS LIMITED,44554018,J9A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 30MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 30 mg,TILLOMED ITALIA Srl,46022012,J9A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 30MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 30 mg,EG SpA,46284016,J9A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 30MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 30 mg,DOC GENERICI Srl,46894010,J9A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 30MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 30 mg,AUROBINDO PHARMA ITALIA Srl,46947026,J9A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 30MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 30 mg,ARISTO PHARMA GMBH,47326018,J9A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 30MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 30 mg,DR. REDDY'S Srl,47567021,J9A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 60MG 28 UNITA' USO ORALE,MIMPARA*28 cpr riv 60 mg,AMGEN EUROPE B.V.,36598050,J9B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 60MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 60 mg,MYLAN PHARMACEUTICALS LIMITED,44554057,J9B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 60MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 60 mg,TILLOMED ITALIA Srl,46022048,J9B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 60MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 60 mg,EG SpA,46284055,J9B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 60MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 60 mg,DOC GENERICI Srl,46894022,J9B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 60MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 60 mg,AUROBINDO PHARMA ITALIA Srl,46947089,J9B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 60MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 60 mg,ARISTO PHARMA GMBH,47326032,J9B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 60MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 60 mg,DR. REDDY'S Srl,47567058,J9B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 90MG 28 UNITA' USO ORALE,MIMPARA*28 cpr riv 90 mg,AMGEN EUROPE B.V.,36598098,J9C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 90MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 90 mg,MYLAN PHARMACEUTICALS LIMITED,44554083,J9C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 90MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 90 mg,TILLOMED ITALIA Srl,46022075,J9C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 90MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 90 mg,EG SpA,46284081,J9C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 90MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 90 mg,DOC GENERICI Srl,46894034,J9C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 90MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 90 mg,AUROBINDO PHARMA ITALIA Srl,46947141,J9C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 90MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 90 mg,ARISTO PHARMA GMBH,47326057,J9C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Cinacalcet,CINACALCET 90MG 28 UNITA' USO ORALE,CINACALCET*28 cpr riv 90 mg,DR. REDDY'S Srl,47567084,J9C,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROXIN*10 cpr riv 250 mg,BAYER SpA,26664019,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,LABORATORI ALTER Srl,36901015,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,MYLAN SpA,37219060,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,BASEMAR*10 cpr riv 250 mg,S.F. GROUP Srl,37321015,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,SANDOZ SpA,37464029,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,RATIOPHARM GMBH,37525019,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,SUN PHARMACEUTICAL IND.EU.B.V.,37584012,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,EG SpA,37661016,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,KRKA D.D.NOVO MESTO,37695018,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,DOC GENERICI Srl,37718018,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,ALMUS Srl,37904012,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,ABC FARMACEUTICI SpA,37929015,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,SAMPER*10 cpr riv 250 mg,AGIPS FARMACEUTICI Srl,37938014,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,BATTIZER*10 cpr riv 250 mg,S.F. GROUP Srl,38108015,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,ZENTIVA ITALIA Srl,38208017,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,ACCORD HEALTHCARE SLU,41019011,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 250MG 10 UNITA' USO ORALE,CIPROFLOXACINA*10 cpr riv 250 mg,AUROBINDO PHARMA ITALIA Srl,43573029,D8A,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,FLONTALEXIN*6 cpr riv 500 mg,I.B.N. SAVIO Srl,26663029,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROXIN*6 cpr riv 500 mg,BAYER SpA,26664021,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,LABORATORI ALTER Srl,36901027,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,MYLAN SpA,37219247,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,ULLAX*6 cpr riv 500 mg,EBERLIFE FARMACEUTICI SpA,37270016,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,BOSIX*6 cpr riv 500 mg,GENETIC SpA,37285020,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,GENERFLON*6 cpr riv 500 mg,SO.SE.PHARM Srl,37287024,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,KINOX*6 cpr riv 500 mg,S.F. GROUP Srl,37289028,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,TOWA PHARMACEUTICAL SpA,37292024,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CHINOCID*6 cpr riv 500 mg,ELLEVA PHARMA Srl,37293026,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,BASEMAR*6 cpr riv 500 mg,S.F. GROUP Srl,37321027,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,PROCIFLOR*6 cpr riv 500 mg,EPIFARMA Srl,37342021,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,PHARMACARE Srl,37344025,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,EOXIN*6 cpr riv 500 mg,C.T. LAB.FARMACEUTICO Srl,37345028,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,SANDOZ SpA,37464587,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,RATIOPHARM GMBH,37525072,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,SUN PHARMACEUTICAL IND.EU.B.V.,37584101,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,EG SpA,37661028,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,GERBAT*6 cpr riv 500 mg,RO-FARM.di DE MAIO SALVATORE&C,37663022,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CUSPIS*6 cpr riv 500 mg,LANOVA FARMACEUTICI Srl,37687023,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,KRKA D.D.NOVO MESTO,37695160,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,DOC GENERICI Srl,37718020,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,TECNIGEN Srl,37749025,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,ALMUS Srl,37904024,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPERUS*6 cpr riv 500 mg,IST.CHIM.INTERNAZ. RENDE Srl,37913023,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,MACAR*6 cpr riv 500 mg,DYMALIFE PHARMACEUTICAL Srl,37915028,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,ABC FARMACEUTICI SpA,37929027,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,SAMPER*6 cpr riv 500 mg,AGIPS FARMACEUTICI Srl,37938026,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,BATTIZER*6 cpr riv 500 mg,S.F. GROUP Srl,38108027,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,ZENTIVA ITALIA Srl,38208029,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,IBIXACIN*6 cpr riv 500 mg,I.B.I.GIOVANNI LORENZINI SpA,38360020,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,ACCORD HEALTHCARE SLU,41019237,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROXIN*6 cpr riv 500 mg,PROGRAMMI SANIT.INTEGRATI Srl,43270014,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROFLOXACINA*6 cpr riv 500 mg,AUROBINDO PHARMA ITALIA Srl,43573043,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Ciprofloxacina,CIPROFLOXACINA 500MG 6 UNITA' USO ORALE,CIPROXIN*6 cpr riv 500 mg,FARMA 1000 Srl,44542013,D8B,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
